no,title,phone,mobile,manager,address,email,website,group,subgroup
213,جناب آقاي حسين نجفي,34223345,9133933591,جناب آقای حسین نجفی,ميدان راهنمايي رانندگي - بلوار باهنر - روبروي سالن انفلاب,,,يراق آلات کابینت و چوب,خدمات ساختمان
214,جناب آقاي اسماعيل زاده,,9132905240,جناب آقای اسماعیل زاده,خيابان 17 شهريور - روبروي مصلي قديم,,,کابینت,خدمات ساختمان
215,جناب آقاي عبدلي,,9136694929,جناب آقای عبدلی,خيابان امير کبير غربي - روبروي کوچه 83,,,کابینت,خدمات ساختمان
216,جناب آقاي برازش/خراساني,34428146,9132927790,جناب آقای برازش/خراسانی,خيابان شهيد مصطفي خميني - نبش ميدان شهيد اميني,,,کابینت,خدمات ساختمان
217,جناب آقاي مرتضي درخشش,,9139929210,جناب آقای مرتضی درخشش,چهار راه عدالت - بلوار ميرزايي - حد فاصل کوچه 12 و 14,,,کابینت,خدمات ساختمان
218,جناب آقاي باقري,,9132904336,جناب آقای باقری,ابتداي خيابان شهيد حسيني - جنب کارواش پارس,,,کابینت,خدمات ساختمان
219,جناب آقاي کشته گر,,9134910060,جناب آقای کشته گر,ميدان شهيد پرتوي - خيابان باهنر روبروي تالار وصال,,,کابینت,خدمات ساختمان
220,جناب آقاي اکبري,33231150,9132903563,جناب آقای اکبری,خيابان امير کبير غربي - حد فاصل کوچه 61 و 59,,,کابینت,خدمات ساختمان
221,جناب آقاي قاسمي,,9103275571,جناب آقای قاسمی,خيابان شريعتي شرقي - نرسيده به پارک تقي آباد,,,کابینت,خدمات ساختمان
222,جناب آقاي حسيني,,9137651540,جناب آقای حسینی,خيابان طالقاني - خيابان ابوذر - کوچه شماره 40 - پلاک 1,,,کابینت,خدمات ساختمان
223,جناب آقاي محمدي,34229253,9139931974,جناب آقای محمدی,خيابان شهيد مصطفي خميني - ابتداي خيابان شهيد کاظمي,,,کابینت,خدمات ساختمان
224,جناب آقاي عزيزکريمي,,9139918005,جناب آقای عزیزکریمی,خيابان مصطفي خميني - حد فاصل مصطفي خميني 50 و 52,,,کابینت,خدمات ساختمان
225,جناب آقاي جمالي مقدم,,9130513795,جناب آقای جمالی مقدم,ميدان امام خميني - بلوار خليج فارس,,,کابینت,خدمات ساختمان
226,جناب آقاي مجتبي بني نجار,,9190669165,جناب آقای مجتبی بنی نجار,خيابان قرني - نبش کوچه 33,,,کابینت,خدمات ساختمان
227,جناب آقاي سياهکوهي,,9133939008,جناب آقای سیاهکوهی,خيابان امير کبير غربي - امير کبير 79 - جنب دبستان حيدر رضائي,,,کابینت,خدمات ساختمان
228,جناب آقاي مجيد باقري,34225496,9133905616,جناب آقای مجید باقری,خيابان مصطفي خميني - نبش کوچه 3,,,کابینت,خدمات ساختمان
229,جناب آقاي مجيد افشار,,9132909418,جناب آقای مجید افشار,خيابان مصطفي خميني - نبش مصطفي خميني 82,,,کابینت,خدمات ساختمان
230,جناب آقاي ترقي خواه,,9139927181,جناب آقای ترقی خواه,بلوار هجرت - بين کوچه 5 و 7,,,کابینت,خدمات ساختمان
231,جناب آقاي روح اله محمدي,,9137657916,جناب آقای روح اله محمدی,خيابان 15 خرداد - روبروي دبيرستان فرهنگ,,,کابینت,خدمات ساختمان
232,جناب آقاي پران نژاد,,9139914181,جناب آقای پران نژاد,شريعتي 27- پلاک 3,,,کابینت,خدمات ساختمان
233,جناب آقاي حيدري,33223540,9133931193,جناب آقای حیدری,امير کبير غربي - نبش خيابان 56,,,چوب و مصنوعات,دکوراسیون و مبلمان
234,جناب آقاي سعيد باهه,,9132904130,جناب آقای سعید باهه,کريم آباد - محقق - بلوار شهيد مهدي - روبروي ضبط پسته,,,کابینت,خدمات ساختمان
235,جناب آقاي زرندي,,9133933352,جناب آقای زرندی,پانزده خرداد - جنب کوچه 15 خرداد 44,,,کابینت,خدمات ساختمان
236,جناب آقاي محمد حسيني,,9140130264,جناب آقای محمد حسینی,خيابان 15 خرداد - روبروي پارک جوان,,,کابینت,خدمات ساختمان
237,جناب آقاي ابراهيمي,,9132904293,جناب آقای ابراهیمی,خيابان 17 شهريور - روبروي کوچه 18شهريور,,,کابینت,خدمات ساختمان
238,جناب آقاي دهقان رجبي,,9133930389,جناب آقای دهقان رجبی,بلوار امام علي - روبروي کارواش و تعويض روغني آترود,,,کابینت,خدمات ساختمان
239,جناب آقاي عبدالرضا رجبي,,9133917702,جناب آقای عبدالرضا رجبی,خيابان عدالت - بلوار شهيد ميرزائي,,,کابینت,خدمات ساختمان
240,جناب آقاي عباس مرادي,3434266869,9133907134,جناب آقای عباس مرادی,خيابان پاسداران - نبش پاسداران 2 - پلاک 168,,,کابینت,خدمات ساختمان
241,جناب آقاي خادي پور,3434373715,9139942743,جناب آقای خادی پور,مهدي آباد واحد - نبش ميدان وليعصر,,,چوب و مصنوعات,دکوراسیون و مبلمان
242,جناب آقاي حاج شريفي,3433232131,9378887102,جناب آقای حاج شریفی,بلوار امام حسن مجتبي (ع) - کوي آهن فروشان,,,فروش مواد اولیه MDF و نئوپان و کابینت,خدمات ساختمان
243,جناب آقاي اميدي فر,3433223876,9133932290,جناب آقای امیدی فر,بلوار امام حسن مجتبي (ع) - کوي آهن فروشان,,,يراق آلات کابینت و چوب,خدمات ساختمان
244,فروشنده درب ضد سرقت و ايمني در شهر رفسنجان,3434283120,9132925480,نامشخص,خيابان شهيد مفتح - بعد از بانک صادرات,,,درب ضد سرقت,خدمات ساختمان
245,جناب آقاي صالحي,,9132908433,جناب آقای صالحی,خيابان اميرکبير غربي - حد فاصل کوچه 53 و 55,,,کف پوش و کاغذ دیواری,دکوراسیون و مبلمان
246,جناب آقاي مقدم,3433222680,9132901826,جناب آقای مقدم,خيابان امير کبير غربي - بعد از پل حسيني مقدم,,,يراق آلات کابینت و چوب,خدمات ساختمان
247,جناب آقاي يزدان آفرين,3434287674,9133912998,جناب آقای یزدان آفرین,ميدان قدس - بلوار شهيد مقيمي,,,فروش مواد اولیه MDF و نئوپان و کابینت,خدمات ساختمان
248,جناب آقاي معصومي,,9132927124,جناب آقای معصومی,خيابان شهيد حسيني - نبش معراج شمالي,,,يراق آلات کابینت و چوب,خدمات ساختمان
249,جناب آقاي قاسم تجدد,3434264261,9125251360,جناب آقای قاسم تجدد,بلوار طالقاني - روبروي کتابخانه مرتضوي - پلاک 378,,,کف پوش و کاغذ دیواری,دکوراسیون و مبلمان
250,جناب آقاي قدرت آبادي,3434221158,9131916528,جناب آقای قدرت آبادی,ميدان شهريار - خيابان شهريار,,,فروش مواد اولیه MDF و نئوپان و کابینت,خدمات ساختمان
251,جناب آقاي تقوي,,9139425795,جناب آقای تقوی,خيابان آيت ا... صدر - جنب تيپاکس,,,کابینت,خدمات ساختمان
252,جناب آقاي فردوسي,,9137699608,جناب آقای فردوسی,خيابان حجت(مزار) - نبش کوچه 11 - جنب تعويض روغني عليزاده,,,کابینت,خدمات ساختمان
253,جناب آقاي بازمانده,,9136231860,جناب آقای بازمانده,خيابان شهيد بهشتي - روبروي پليس +10,,,کابینت,خدمات ساختمان
254,جناب آقاي سعيد خضري,3434242011,9139459790,جناب آقای سعید خضری,بلوار مدرس شمالي - مجتمع مسکوني آفتاب - واحد 11,a.q.khezri@gmail.com,,فروش مواد اولیه MDF و نئوپان و کابینت,خدمات ساختمان
255,جناب آقاي حسين يزدان آفرين,,9137555086,جناب آقای حسین یزدان آفرین,خ اميرکبير - کوچه 100,,,کابینت,خدمات ساختمان
256,جناب آقاي رضا ميرزائي,3434265562,9125075973,جناب آقای رضا میرزائی,خ شهيد انصاري - ابتداي کوي شماره 4,,,کابینت,خدمات ساختمان
257,جناب آقاي عباس يزدان آفرين,,9133912998,جناب آقای عباس یزدان آفرین,بلوار شهيد مطيمي - دفتر شرکت,,,کابینت,خدمات ساختمان
258,جناب آقاي غفاري,3434285533,9133916053,جناب آقای غفاری,بلوار آزادي - روبروي بوستان معلم,,,کابینت,خدمات ساختمان
259,جناب آقاي افروز,,9368047098,جناب آقای افروز,بلوار هجرت جنب سوپر گوشت رضا,,,کابینت,خدمات ساختمان
260,جناب آقاي زين الديني,,9137703228,جناب آقای زین الدینی,بلوار خليج فارس - ابتداي خيابان شهيد قره ني,,,کابینت,خدمات ساختمان
261,جناب آقاي فاتحي,,9133939694,جناب آقای فاتحی,خيابان امير کبير غربي - نبش کوچه 85,,,کابینت,خدمات ساختمان
262,جناب آقاي ابراهيمي نيا,,9136232636,جناب آقای ابراهیمی نیا,بلوار شهيد ميرزايي - نبش کوچه شماره 3,,,کابینت,خدمات ساختمان
263,جناب آقاي دادگر,,9383716763,جناب آقای دادگر,خيابان مصطفي - خميني 42,,,کابینت,خدمات ساختمان
264,جناب آقاي عرفاني,,9132915030,جناب آقای عرفانی,خيابان اميرکبير - ابتداي خيابان ابوذر,,,کابینت,خدمات ساختمان
265,توليدکننده کابينت در شهر رفسنجان,3434265126,9137147787,نامشخص,خيابان سيد جمال الدين - نرسيده به سه راه,,,کابینت,خدمات ساختمان
266,فروشنده کابينت در شهر رفسنجان,3434259289,9123224077,نامشخص,خيابان پاسداران - روبروي پاسداران 14,,,کابینت,خدمات ساختمان
267,توليدکننده کابينت در شهر رفسنجان,3434227660,9133914109,نامشخص,بلوار شهيد ميرزائي - نبش ميدان کاظمي,,,کابینت,خدمات ساختمان
268,جناب آقاي قاسمي,3434253782,9133913782,جناب آقای قاسمی,خيابان شريعتي شرقي - نرسيده به پارک تقي آباد,,,کابینت,خدمات ساختمان
269,جناب آقاي حسيني,,9369736211,جناب آقای حسینی,خيابان آيت ا... صدر - روبروي بهزيستي,,,کابینت,خدمات ساختمان
270,جناب آقاي زرندي,,9375201404,جناب آقای زرندی,خيابان بوستان - کوچه 33 - پلاک15,,,کابینت,خدمات ساختمان
271,جناب آقاي رضا نوروزي,3434322019,9133937089,جناب آقای رضا نوروزی,خيابان امير کبير غربي - روبروي گلزار شهدا,,,کابینت,خدمات ساختمان
